Failure_Number,Time,JM_Failure_Intensity,JM_MTBF,NHPP_Failure_Intensity,NHPP_MTBF,Weibull_Failure_Intensity,Weibull_MTBF,Reliability_JM,Availability_JM,Reliability_NHPP,Availability_NHPP,Reliability_Weibull,Availability_Weibull
21,2861.0441273765496,2.6500000000000004,0.3773584905660377,3.7552878315594517e-13,2662911725689.83,0.8970332551386571,1.11478587250974,3.0988191387218142e-12,0.15873015873015872,0.00011758204880591227,0.9999999999992489,0.588410711545831,0.35790128700291707
22,3145.4981529014876,2.6,0.3846153846153846,2.184112948522267e-14,45785177944967.664,0.94056969731304,1.063185432038409,5.109089028063324e-12,0.16129032258064516,0.00011758204880591227,0.9999999999999564,0.588410711545831,0.3470849074033719
23,3486.3810860082185,2.5500000000000003,0.392156862745098,7.225024520420339e-16,1384078347656350.8,0.9902245606122946,1.0098719419579543,8.423463754468617e-12,0.16393442622950818,0.00011758204880591227,0.9999999999999986,0.588410711545831,0.3355199029833215
24,3841.191196634201,2.5,0.4,2.0793068948597255e-17,4.8092948783660056e+16,1.039391660565626,0.9621012347316801,1.3887943864964021e-11,0.16666666666666669,0.00011758204880591227,1.0,0.588410711545831,0.3248036304265041
25,4216.164986230484,2.45,0.4081632653061224,4.891342983739716e-19,2.0444282957140777e+18,1.088942791140712,0.918321888106224,2.289734845645553e-11,0.1694915254237288,0.00011758204880591227,1.0,0.588410711545831,0.3146746395073462
26,4591.7384203640195,2.4000000000000004,0.41666666666666663,1.1437560832028118e-20,8.7431228973204e+19,1.1364094467784844,0.8799645258448171,3.775134544279084e-11,0.17241379310344826,0.00011758204880591227,1.0,0.588410711545831,0.3055470016897815
27,4972.298008177005,2.35,0.425531914893617,2.5443926168653023e-22,3.9302110585118833e+21,1.1825645076695745,0.8456198317423326,6.224144622907783e-11,0.17543859649122806,0.00011758204880591227,1.0,0.588410711545831,0.2971654267761311
28,5354.778447412108,2.3000000000000003,0.4347826086956521,5.552552643222045e-24,1.800973469780051e+23,1.2272047255183856,0.8148599652577025,1.0261879631701854e-10,0.17857142857142852,0.00011758204880591227,1.0,0.588410711545831,0.2894850810751083
29,5742.526527950165,2.25,0.4444444444444444,1.1495402103608717e-25,8.699130234740314e+24,1.2708601756235751,0.7868686258182009,1.6918979226151304e-10,0.1818181818181818,0.00011758204880591227,1.0,0.588410711545831,0.28234866133568925
30,6132.170438114007,2.2,0.45454545454545453,2.335189699785697e-27,4.282307343560873e+26,1.3132680365102796,0.761459178323779,2.7894680928689246e-10,0.18518518518518517,0.00011758204880591227,1.0,0.588410711545831,0.27574522350389724
31,6527.554862644814,2.15,0.46511627906976744,4.4790862804978694e-29,2.232598207259463e+28,1.3549445764011363,0.7380375680428912,4.599055378652317e-10,0.18867924528301888,0.00011758204880591227,1.0,0.588410711545831,0.26954983257239584
